id,address,lat,lon,demand
45,SLB Islam Qothrunnada,-7.85073,110.385,0
46,Pesantren Al Husain,-7.86657,110.414,0
47,"Pondok Pesantren ""ALHAMDULILLAH""",-7.87451,110.393,0
48,PPDQ AL-IMAM,-7.87397,110.393,0
49,PP. Fadlun Minalloh Komplek Putri,-7.87619,110.393,0
50,Pondok Bodho Al Abyan,-7.87292,110.393,0
51,"Pondok Pesantren Syifa'ul Qulub, Kanggotan, Pleret, Kabupaten Bantul, Daerah Istimewa Yogyakarta",-7.86645,110.397,0
52,Pondok Pesantren Tahfidzil Qur`an Al Rusydi,-7.86645,110.396,0
53,PP Nahdlatusy Syubban (1),-7.86912,110.395,0
54,Pondok Pesantren Nahdlatusy Syubban 2,-7.86847,110.397,0
55,AL IZZA,-7.8626,110.4,0
56,AL FALAH JABAL SALATAN,-7.88919,110.406,0
57,MI BAIQUNIYYAH JEJERAN,-7.86548,110.386,0
58,"Pondok Pesantren Tahfidz Al Qur'an ""Al Mansyur""",-7.8896,110.337,0
59,RUBELA,-7.96994,110.329,0
60,PONDOK PESANTREN ROHMATUL UMAM,-7.97923,110.315,0
61,AL IHSAN AL HIDAYAH GOA CERME,-7.97944,110.38,0
62,"Pondok Pesantren Ar-Rohmah, Paduresan, Wukirsari, Kabupaten Bantul, Daerah Istimewa Yogyakarta",-7.91803,110.385,0
63,Pondok Pesantren Ali Marzuqi,-7.9164,110.4,0
64,AMANAH PA ANAK YATIM,-7.8964,110.382,0
65,DARUL MUKHLISIN,-7.95696,110.311,0
66,JAMASBA,-7.88751,110.326,0
67,MASJID AN-NADIA,-7.9964,110.296,0
68,PMMI,-7.85357,110.357,0
69,Hidayatul Mubtadien,-7.87157,110.399,0
70,Mambaul Huda,-7.9311,110.273,0
71,Muhammadiyah Quranic School,-7.85483,110.34,0
72,PPTQ Yatim Dhuafa Ar-Ridho,-7.81769,110.313,0
73,Mahad Ma'wal Alfudhoily,-7.8379,110.445,0
74,Pondok Pesantren Darul Furqon Bantul,-7.85796,110.421,0
75,Rumah Tahfidz Tasnim Darussalam,-7.91687,110.4,0
76,Quranic Ocean View,-8.01903,110.336,0
77,PONDOK PESANTREN SMA TAHFIDZ AL-QURAN TELAGA ILMU YOGJAKARTA,-7.84635,110.399,0
78,Mushola Tahfidz Al-Mahabbah,-7.81708,110.329,0
